nid,nid,Sequence,Judge Name,School,Degree,Degree Year,Court Name,In District,T14 Law School
1394346,1394346,2,"Meyer, Jeffrey Alker",Yale Law School,J.D.,1989,U.S. District Court for the District of Connecticut,1,True
1394401,1394401,2,"Michelson, Laurie Jill",Northwestern University School of Law,J.D.,1992,U.S. District Court for the Eastern District of Michigan,0,True
1393796,1393796,2,"Milazzo, Jane Margaret Triche",Louisiana State University Law School,J.D.,1992,U.S. District Court for the Eastern District of Louisiana,1,False
1394311,1394311,2,"Millett, Patricia Ann",Harvard Law School,J.D.,1988,U.S. Court of Appeals for the District of Columbia Circuit,0,True
1394351,1394351,2,"Moody, James Maxwell, Jr.",University of Arkansas School of Law,J.D.,1989,U.S. District Court for the Eastern District of Arkansas,1,False
1394156,1394156,2,"Moore, Raymond Paul",Yale Law School,J.D.,1978,U.S. District Court for the District of Colorado,0,True
1393946,1393946,3,"Morgan, Susie",Louisiana State University Law School,J.D.,1980,U.S. District Court for the Eastern District of Louisiana,1,False
1394481,1394481,2,"Moritz, Nancy Louise",Washburn University School of Law,J.D.,1985,U.S. Court of Appeals for the Tenth Circuit,1,False
1394331,1394331,3,"Morris, Brian Matthew",Stanford Law School,J.D.,1992,U.S. District Court for the District of Montana,0,True
1394636,1394636,2,"Moss, Randolph Daniel",Yale Law School,J.D.,1986,U.S. District Court for the District of Columbia,0,True
1393521,1393521,2,"Mueller, Kimberly Jo",Stanford Law School,J.D.,1995,U.S. District Court for the Eastern District of California,1,True
1393641,1393641,2,"Myerscough, Sue Ellen",Southern Illinois University School of Law,J.D.,1980,U.S. District Court for the Central District of Illinois,1,False
1393801,1393801,2,"Nathan, Alison Julie",Cornell Law School,J.D.,2000,U.S. District Court for the Southern District of New York,1,True
1393111,1393111,2,"Navarro, Gloria Maria",Arizona State University College of Law,J.D.,1992,U.S. District Court for the District of Nevada,0,False
1393531,1393531,2,"Nelson, Susan Richard",University of Pittsburgh School of Law,J.D.,1978,U.S. District Court for the District of Minnesota,0,False
1392971,1392971,2,"Nguyen, Jacqueline Hong-Ngoc","University of California, Los Angeles, School of Law",J.D.,1991,U.S. District Court for the Central District of California,1,False
1393926,1393926,2,"Nuffer, David Ogden","Brigham Young University, J. Reuben Clark Law School",J.D.,1978,U.S. District Court for the District of Utah,1,False
1394161,1394161,2,"Nunley, Troy Lynne","University of California, Hastings College of the Law",J.D.,1990,U.S. District Court for the Eastern District of California,1,False
